Occupation_Group,Sector,Wage_Male,Wage_Female
Occupation group of main usual job (ISCO 1 digit) , public,3.465196078,3.429524579
Managers , private,90.73217843,87.84586113
Professionals ,Household (Domestic workers),5.802625494,8.724614291
Technical and associate professionals ,Total,100,100
Clerical support workers ,,,
Services and sales workers ,,,
"Skilled agricultural, forestry, and fishery workers ",,,
Craft and related trades workers ,,,
"Plant and machine operators, and assemblers ",,,
Elementary occupations ,,,
